Year,"Average global CapEx, $/KW"
2021,3279.6940931546687
2022,3137.141296000969
2023,3069.966897854327
2024,2991.012048637048
2025,2902.5014874302137
2026,2817.3197518046554
2027,2768.0429844471964
2028,2723.5940243343157
2029,2705.761567007618
2030,2664.1736690221223
2031,2648.7588523621353
2032,2633.0508976679666
2033,2623.4023569776
2034,2613.278035557101
2035,2604.5255627058423
