year,capacity,low capacity,high capacity
2021,51364,51364,51364
2022,67032,62532.92857,72424.78571
2023,77298,73701.85714,93485.57143
2024,92674,84870.78571,114546.3571
2025,115594,96039.71429,135607.1429
2026,145460,107208.6429,156667.9286
2027,167387,118377.5714,177728.7143
2028,190860,129546.5,198789.5
2029,201420,140715.4286,219850.2857
2030,228978,151884.3571,240911.0714
2031,240348,163053.2857,261971.8571
2032,252645,174222.2143,283032.6429
2033,260575,185391.1429,304093.4286
2034,269220,196560.0714,325154.2143
2035,276972,207729,346215
